model,date,video_url,result_url,speed,one_shot_attempts,design,architecture,code_quality,feature_complete,performance,accessibility,best_practices,value,overall_score
Deepseek-3.2,2026-04-04,https://www.youtube.com/@slopops,/deepseek-v3-2/,?,?,?,?,?,?,?,?,?,?,??
ChatGPT-5.3,2026-04-04,https://www.youtube.com/@slopops,/chatgpt-v5-3/,?,?,?,?,?,?,?,?,?,?,??
Kimi-2.5,2026-04-04,https://www.youtube.com/@slopops,/kimi-v2-5/,?,?,?,?,?,?,?,?,?,?,??
Deepseek-3.21,2026-04-04,https://www.youtube.com/@slopops,/deepseek-v3-2/,?,?,?,?,?,?,?,?,?,?,??
ChatGPT-5.31,2026-04-04,https://www.youtube.com/@slopops,/chatgpt-v5-3/,?,?,?,?,?,?,?,?,?,?,??
Kimi-2.51,2026-04-04,https://www.youtube.com/@slopops,/kimi-v2-5/,?,?,?,?,?,?,?,?,?,?,??
Deepseek-3.22,2026-04-04,https://www.youtube.com/@slopops,/deepseek-v3-2/,?,?,?,?,?,?,?,?,?,?,??
ChatGPT-5.32,2026-04-04,https://www.youtube.com/@slopops,/chatgpt-v5-3/,?,?,?,?,?,?,?,?,?,?,??
Kimi-2.52,2026-04-04,https://www.youtube.com/@slopops,/kimi-v2-5/,?,?,?,?,?,?,?,?,?,?,??
Deepseek-3.23,2026-04-04,https://www.youtube.com/@slopops,/deepseek-v3-2/,?,?,?,?,?,?,?,?,?,?,??
ChatGPT-5.33,2026-04-04,https://www.youtube.com/@slopops,/chatgpt-v5-3/,?,?,?,?,?,?,?,?,?,?,??
Kimi-2.53,2026-04-04,https://www.youtube.com/@slopops,/kimi-v2-5/,?,?,?,?,?,?,?,?,?,?,??
Deepseek-3.24,2026-04-04,https://www.youtube.com/@slopops,/deepseek-v3-2/,?,?,?,?,?,?,?,?,?,?,??
ChatGPT-5.34,2026-04-04,https://www.youtube.com/@slopops,/chatgpt-v5-3/,?,?,?,?,?,?,?,?,?,?,??
Kimi-2.54,2026-04-04,https://www.youtube.com/@slopops,/kimi-v2-5/,?,?,?,?,?,?,?,?,?,?,??
